project_id,nome,municipio,uf,responsabilidade,status_segundo_simec,situacao_segundo_tbrasil,logradouro,percentual_de_execucao,ano_convenio,valor_pactuado_com_o_fnde,ano_fim_vigencia_convenio,termo_convenio,data_de_entrega,tipo_data_final,tipo_do_projeto,possui_alerta,possui_resposta
1054337,ESCOLA PERIJUÇARA - Axixá - MA,Axixá,MA,Municipal,Execução,em andamento,rua são domingos,2.72,2016,1020307.76,2019,79192/2016,2019-09-30,Data oficial,Espaço Educativo - 06 Salas,0,0
1054612,LOTEAMENTO RIVIERA - TREVISAN - Jaguaré - ES,Jaguaré,ES,Municipal,Execução,em andamento,rua projetada - loteamento riviera,34.87,2016,3528670.27,2020,79419/2016,2020-01-19,Data oficial,Espaço Educativo - 12 Salas,0,0
1055180,CMEI Campinho da Serra I - Serra - ES,Serra,ES,Municipal,Em Reformulação,n�o iniciada,rua quilombo i,0,2017,1220289.96,2019,98173/2017,,Estimada (data contrato + execu��o cron padr�o),Projeto 2 Convencional,0,0
1055182,CMEI Bairro de Fátima - Serra - ES,Serra,ES,Municipal,Licitação,n�o iniciada,rua vila lobos,0,2017,1220289.96,2019,109906/2017,,Estimada (data contrato + execu��o cron padr�o),Projeto 2 Convencional,0,0
1057990,Rua do Estádio - Carapicuíba - SP,Carapicuíba,SP,Municipal,Execução,em andamento,rua do estádio,68.05,2013,1530746.54,2019,5146/2013,2019-03-12,Data oficial,MI - Escola de Educação Infantil Tipo B,0,0
1057991,Rua Riberião Preto - Carapicuíba - SP,Carapicuíba,SP,Municipal,Execução,em andamento e j� devia ter sido entregue,rua ribeirão preto,31.57,2013,1515686.54,2019,5146/2013,2017-06-25,Estimada (data contrato + execu��o cron padr�o),MI - Escola de Educação Infantil Tipo B,0,0
1058257,"Quadra Poliesportiva do campus da FESP/UPE - Fundação Universidade de Pernambuco – PE, na Rua Prof.",Nazaré da Mata,PE,Estadual,Planejamento pelo proponente,n�o iniciada,rua bernardo vieira de melo,0,2014,384328.83,"",815209/2014,,Estimada (data contrato + execu��o cron padr�o),Construção,0,0
1058428,Jardim das Nações,Sinop,MT,Municipal,Concluída,obra conclu�da,av:dos tarumãs c/ rua das arapongas,100,2011,1329410.39,2018,239/2011,2018-07-31,Data oficial,Escola de Educação Infantil Tipo B,0,0
1058611,PAC 2 - CRECHE/PRÉ-ESCOLA  001 - Messias - AL,Messias,AL,Municipal,Concluída,obra conclu�da,conjunto antonio rodrigues calheiros,99.37,2013,912258.33,2019,5722/2013,2017-03-30,Data oficial,MI - Escola de Educação Infantil Tipo C,0,0
1059734,ESCOLA PROINFANCIA - Sumé - PB,Sumé,PB,Municipal,Concluída,obra conclu�da,rua hugo santa cruz,100,2013,1690599.74,2019,5110/2013,2018-10-20,Data oficial,MI - Escola de Educação Infantil Tipo B,0,0
1059979,CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL - Dom Macedo Costa - BA,Dom Macedo Costa,BA,Municipal,Execução,em andamento,rua do cruzeiro,1.39,2016,1294044.26,2020,14627/2016,2019-03-13,Data oficial,Projeto 2 Convencional,0,0
1059980,PAC 2 - CRECHE/PRÉ-ESCOLA  001 - Viçosa - MG,Viçosa,MG,Municipal,Execução,em andamento e j� devia ter sido entregue,avenida bernardes filho,63.25,2016,1201737.61,2019,14628/2016,2018-04-24,Data oficial,Projeto 2 Convencional,0,0
1061264,Creche Bairro Do Rosário - São José da Varginha - MG,São José da Varginha,MG,Municipal,Execução,em andamento,rua josé moreira de assis,16.07,2017,1819026.65,2019,98179/2017,2019-04-26,Data oficial,Projeto 1 Convencional,0,0
1061267,Escola de Ensino Infantil no Bairro Village - Porto Real - RJ,Porto Real,RJ,Municipal,Execução,em andamento,rua vitória,0.35,2017,1419046.56,2019,100361/2017,2020-07-31,Data oficial,Projeto 2 Convencional,0,0
1061293,EMEI Santa Cristina do Pinhal - Parobé - RS,Parobé,RS,Municipal,Execução,em andamento,rua gaspar silveira martins,1.01,2017,542138.51,2019,100360/2017,2019-07-28,Data oficial,Escola com projeto elaborado pelo concedente,0,0
1061406,Assentamento Córrego Fundo - Campina Verde - MG,Campina Verde,MG,Municipal,Licitação,n�o iniciada,pa córrego fundo/escola municipal,0,"",234964.97,"","",,Estimada (data contrato + execu��o cron padr�o),Espaço Educativo - 02 Salas,0,0
1061407,Jardim - Ibiá - MG,Ibiá,MG,Municipal,Planejamento pelo proponente,n�o iniciada,rua josé afonso mendes de carvalho,0,"",1017499.75,"","",,Estimada (data contrato + execu��o cron padr�o),Espaço Educativo - 06 Salas,0,0
1061408,BAIRRO BOA VISTA IV,Monte Carmelo,MG,Municipal,Planejamento pelo proponente,n�o iniciada,rua: tubarão,0,2017,1198056.45,2019,110762/2017,,Estimada (data contrato + execu��o cron padr�o),Espaço Educativo - 06 Salas,0,0
1061409,Quadra 298 - Tupaciguara - MG,Tupaciguara,MG,Municipal,Execução,n�o iniciada,rua rodrigo do vale / rua araújo cunha,0,2018,3633702.7,2020,111843/2018,2020-01-31,Data oficial,Espaço Educativo - 12 Salas,0,0
1061806,Cuieiras,Soure,PA,Municipal,Inacabada,paralisada,localidade de cuieiras,14.07,2014,891197.81,2018,7520/2014,,Estimada (data contrato + execu��o cron padr�o),Espaço Educativo - 04 Salas,0,0
1061808,Pesqueiro,Soure,PA,Municipal,Inacabada,paralisada,comunidade pesqueiro,69.3,2014,871906.9,2018,7520/2014,,Estimada (data contrato + execu��o cron padr�o),Espaço Educativo - 04 Salas,0,0
